1234;0;2020/06/18 23:10:26
4321;5;2020/06/18 23:15:03
abcb;0;2020/06/18 23:17:25
abcb;0;2020/06/18 23:17:32
abcb;15;2020/06/18 23:17:54
8295;0;2020/06/18 23:23:59
8295;50;2020/06/18 23:25:01
1234;37;2020/06/18 23:27:12
1234;19;2020/06/18 23:29:47
1111;19;2020/06/18 23:33:01
1111;37;2020/06/18 23:33:24
1234;80;2020/06/18 23:50:07
1234;24;2020/06/19 00:53:06
asdf;22;2020/06/19 01:04:25
asdf;48;2020/06/19 01:08:06
asdf;24;2020/06/19 01:09:27
asdf;18;2020/06/19 01:15:54
55456;24;2020/06/19 01:25:31
2121;24;2020/06/19 01:26:26
2121;19;2020/06/19 01:29:15
1545;6;2020/06/19 01:31:45
1231;13;2020/06/19 01:34:53
1111;6;2020/06/19 01:36:03
1234;13;2020/06/19 01:36:46
1234;24;2020/06/19 01:41:01
4546;6;2020/06/19 01:52:09
